HOSPITAL NAME,CITY,AREA,ADDRESS,DOCTORS,CONTACT
Talha Physical Therapy Center,Multan,Jail Road,"Talha Physical Therapy Center, Near Vodka Eye Care 49/A District, Jail Road, Multan",1,3006334647
Dental World Hospital,Multan,Jail Road,"Dental World Hospital, Near Circuit House, Jail Road, Multan",1,3115066698
Happy Teeth Dental Clinic,Multan,Jail Road,"Happy Teeth Dental Clinic, Near Nishtar Dental Hospital, Jail Road, Multan",1,3166793950
Thq Hospital,Multan,Jalalpur Pirwala,"Thq Hospital, Jalalpur-Shujabad Rd, Chak 84-M, Jalalpur Pirwala, Multan",-,042-32591427
Dr Imran Iqbal Clinic,Multan,Jamilabad,"Dr Imran Iqbal Clinic, 205- Main Road Near Chungi No.1, Jamilabad, Multan",-,3018633919
Dr Iqbal Clinic,Multan,Jamilabad,"Dr Iqbal Clinic, 205 Main Road, Near Chungi No. 1, Jamilabad, Multan",-,614549784
Chenab General Hospital,Multan,Jamilabad Colony,"Chenab General Hospital, Chenab General Hospital Room 110 First Floor Chungi, Jamilabad Colony, Multan",8,(061) 4518874
Chenab Dental Care Hospital,Multan,Jamilabad Colony,"Chenab Dental Care Hospital, Inside Chenab Hopsital, Jamilabad Colony, Multan",-,614518874
Hope Nic 1 Child Care Complex Hospital,Multan,Jamilabad Colony,"Hope Nic 1 Child Care Complex Hospital, Chungi No.1 Suraj Miani Road, Jamilabad Colony, Jamilabad Colony, Multan",3,3111222398
Chenab General Hospital (New),Multan,Jamilabad Colony,"Chenab General Hospital (New), Chungi No 1, Suraj Miani Road, Jamilabad Colony, Multan",3,614518874
Family Care Clinic,Multan,Jan Muhammad Colony,"Family Care Clinic, Masoom Shah Road, Jan Muhammad Colony, Multan",1,3336124088
Qaisrani Medical Center,Multan,Jinnah Town,"Qaisrani Medical Center, Jail Road, Mda Chowk, Jinnah Town, Multan",6,614545784
Athar Dental Surgery Implant And Facial Aesthetic Clinic,Multan,Jinnah Town,"Athar Dental Surgery Implant And Facial Aesthetic Clinic, Galaxy Dental Clinic, Jail Rd, Jinnah Town, Multan",1,3014484633
Multan Smiles Hospital,Multan,Jinnah Town,"Multan Smiles Hospital, Shop 1 Almeeraj Centre, Main Suraj Miani Road, Opposite Honda Showroom, Jinnah Town, Jinnah Town, Multan",1,0303 7187155
Alkareem Medical And Surgical Complex Hospital,Multan,Justice Hameed Colony,"Alkareem Medical And Surgical Complex Hospital, Nishtar Road, Justice Hameed Colony, Multan",1,0
Pakistan Med Center,Multan,Justice Hamid Colony,"Pakistan Med Center, Chungi No. 1, Sooraj Miani Road, Justice Hamid Colony, Multan",2,614545983
Cancer Specialist Clinic,Multan,Justice Hamid Colony,"Cancer Specialist Clinic, Suraj Miani Road Chungi No.1 Opposite Pakistan Medical Centre And Wavelaz Eye Center, Justice Hamid Colony, Multan",2,616304488
Alkareem Medical And Surgical Complex Hospital,Multan,Justice Hamid Colony,"Alkareem Medical And Surgical Complex Hospital, Justice Hamid Colony, Justice Hamid Colony, Multan",1,3041774400
Seyal Medical Centre,Multan,Kachehri Chowk,"Seyal Medical Centre, Abbaspur, Kachehri Chowk, Multan",-,3248726691
Shameem Akhter Clinic,Multan,Kacheri Road,"Shameem Akhter Clinic, Near Chungi Number 9 Opposite Ahsan Cars Show Room, Kacheri Road, Multan",1,3136260940
Gulfam Basharat General Hospital,Multan,Khanewal Rd,"Gulfam Basharat General Hospital, Kumharanwala Chowk, Manzoor Colony, Khanewal Rd,, Multan",1,3066333447
Derma Clinic,Multan,Khanewal Road,"Derma Clinic, Faisal Hospital Khanewal Road, Khanewal Road, Multan",1,3334931111
Faisal Hospital (Multan),Multan,Khanewal Road,"Faisal Hospital (Multan), Shamsabad Colony Near Bilal Motors,, Khanewal Road, Multan",2,3111222398
Ali General Hospital,Multan,Khanewal Road,"Ali General Hospital, Naqshband Colony Mehmoodabad,, Khanewal Road, Multan",2,3074857820
